transaction_id,amount,is_fraud,channel_CARD_HOST,channel_CARD_PHONE,channel_CARD_RECURRING,channel_CARD_STORE,channel_CARD_WEB,channel_CASH_IN,channel_CASH_OUT,channel_DEBIT,channel_PAYMENT,channel_TRANSFER,source_dataset_IEEE-CIS,source_dataset_PaySim
PAYSIM_7_0,0.4536093231780838,0,0,0,0,0,0,0,1,0,0,0,0,1
PAYSIM_4_1,0.0037971344893951717,0,0,0,0,0,0,1,0,0,0,0,0,1
PAYSIM_8_2,0.4083905465553798,0,0,0,0,0,0,0,0,0,0,1,0,1
PAYSIM_5_3,0.29844084252739106,0,0,0,0,0,0,1,0,0,0,0,0,1
PAYSIM_7_4,0.2942794499760399,0,0,0,0,0,0,0,1,0,0,0,0,1
PAYSIM_3_5,0.20310892411995032,0,0,0,0,0,0,0,1,0,0,0,0,1
PAYSIM_7_6,0.26029948629900407,0,0,0,0,0,0,0,0,0,1,0,0,1
PAYSIM_8_7,0.20629593544514016,0,0,0,0,0,0,0,0,1,0,0,0,1
PAYSIM_5_8,0.6878429326300741,1,0,0,0,0,0,0,0,0,0,1,0,1
PAYSIM_4_9,0.32615707381053616,0,0,0,0,0,0,0,1,0,0,0,0,1
PAYSIM_8_10,0.3502329163592227,0,0,0,0,0,0,0,1,0,0,0,0,1
PAYSIM_8_11,0.2765711479151589,0,0,0,0,0,0,0,0,1,0,0,0,1
PAYSIM_3_12,0.3747058433059777,0,0,0,0,0,0,0,0,1,0,0,0,1
PAYSIM_6_13,0.07338271342286543,0,0,0,0,0,0,1,0,0,0,0,0,1
PAYSIM_5_14,0.11010615891665611,0,0,0,0,0,0,1,0,0,0,0,0,1
PAYSIM_2_15,0.42524956066208225,0,0,0,0,0,0,0,0,0,0,1,0,1
PAYSIM_8_16,0.16752277612740024,0,0,0,0,0,0,0,0,0,0,1,0,1
PAYSIM_6_17,0.011894695606890911,0,0,0,0,0,0,0,0,0,1,0,0,1
PAYSIM_2_18,0.07988194361411934,0,0,0,0,0,0,1,0,0,0,0,0,1
PAYSIM_5_19,0.11614771103308737,0,0,0,0,0,0,0,1,0,0,0,0,1
PAYSIM_1_20,0.49723123359397375,0,0,0,0,0,0,1,0,0,0,0,0,1
PAYSIM_6_21,0.29763787502660644,0,0,0,0,0,0,0,1,0,0,0,0,1
PAYSIM_9_22,0.48445822573445546,0,0,0,0,0,0,0,0,1,0,0,0,1
PAYSIM_1_23,0.9818349651796717,1,0,0,0,0,0,0,0,0,0,1,0,1
PAYSIM_3_24,0.24897745443605857,0,0,0,0,0,0,0,0,1,0,0,0,1
PAYSIM_7_25,0.16295196852577648,0,0,0,0,0,0,0,0,0,0,1,0,1
PAYSIM_4_26,0.31494901997285174,0,0,0,0,0,0,0,0,0,0,1,0,1
PAYSIM_9_27,0.07230236338193119,0,0,0,0,0,0,0,0,0,1,0,0,1
PAYSIM_3_28,0.4665551887062445,0,0,0,0,0,0,1,0,0,0,0,0,1
PAYSIM_5_29,0.43075378928629415,0,0,0,0,0,0,0,0,1,0,0,0,1
PAYSIM_3_30,0.1649276153318519,0,0,0,0,0,0,0,1,0,0,0,0,1
PAYSIM_7_31,0.49488079521175943,0,0,0,0,0,0,0,0,0,0,1,0,1
PAYSIM_5_32,0.42860784027951415,0,0,0,0,0,0,0,0,0,0,1,0,1
PAYSIM_9_33,0.3927256008128466,1,0,0,0,0,0,0,1,0,0,0,0,1
PAYSIM_7_34,0.06324615898106221,0,0,0,0,0,0,0,0,1,0,0,0,1
PAYSIM_2_35,0.2483955141357371,0,0,0,0,0,0,0,0,1,0,0,0,1
